"","BPGSA_DiseaseGenes@score"
"GO:0032727",0.0157720906435869
"GO:0032728",0.707498112316749
"GO:0097264",0.790353469019966
"GO:0032729",0.00148303685588252
"GO:1902510",0.897058823529412
"GO:0045829",0.82249065821586
"GO:0097267",0.776321791416131
"GO:1902512",0.579411764705883
"GO:1902513",0.684154478897041
"GO:1902514",0.211359059561033
"GO:0090303",0.224819670726131
"GO:0090304",0.852513829376365
"GO:0090305",0.996168123963371
"GO:0009451",0.999994980266258
"GO:0090306",0.562131899920095
"GO:0090307",0.918366174086401
"GO:0032713",0.888577361145149
"GO:0090308",0.804078610849374
"GO:0032714",0.89415937463533
"GO:0090309",0.975827577994761
"GO:0032715",0.753121617802736
"GO:0045813",0.263157894736842
"GO:0045814",0.350581433642663
"GO:0097252",0.970588235294118
"GO:0032717",0.644307726894446
"GO:0045815",0.750230089580406
"GO:0086064",0.389101295233502
"GO:0086065",0.460073805313972
"GO:0086066",0.184179634676554
"GO:0055123",0.163257078633987
"GO:0086067",0.49857514209845
"GO:0032740",0.0721309696254358
"GO:0086068",0.812234442090158
"GO:0032741",0.284100293082125
"GO:1902547",0.226583735098366
"GO:0086069",0.927986145695115
"GO:0045840",0.00410953571071382
"GO:1902548",0.160538782637107
"GO:0032743",0.664504119652263
"GO:0045841",0.738968419203284
"GO:0045842",0.922868439282163
"GO:0032745",0.09909428359317
"GO:0045843",0.971593484104744
"GO:0045844",0.0401349762672785
"GO:0032747",0.147497354253879
"GO:0097283",0.949725279788228
"GO:1904994",0.399950940749848
"GO:0097284",0.689466067802095
"GO:1904995",0.145749594763366
"GO:0039692",0.953853955375254
"GO:1904996",0.639250217729711
"GO:1902530",0.426470588235294
"GO:1904997",0.447481328460194
"GO:1902531",0.00180894195915028
"GO:0086053",0.443548387096774
"GO:0039694",0.521516149894542
"GO:1904998",0.555555555555556
"GO:1902532",0.00481021220638243
"GO:0086054",0.39039039039039
"GO:0039695",0.26
"GO:1904999",0.581538461538461
"GO:1902533",0.000810650455746336
"GO:0086055",0.241379310344828
"GO:0120009",0.616930227443308
"GO:0036003",0.0492555109952557
"GO:0032730",0.413277082044122
"GO:0032731",0.760738290959798
"GO:0036005",0.490393763379907
"GO:0032732",0.156785106935986
"GO:0045830",0.740246625159825
"GO:0036006",0.436408728496374
"GO:0032733",0.647492579736863
"GO:0055117",0.267309815909349
"GO:0055118",0.764359378888511
"GO:0032735",0.0118916478265346
"GO:0045833",0.0334914527300801
"GO:0055119",0.182329802840515
"GO:0032736",0.554630865300904
"GO:0045834",2.56859899685586e-07
"GO:0045835",0.0872478172560268
"GO:0045836",0.942488325822391
"GO:0045837",0.726145352646434
"GO:0032739",0.315555555555556
"GO:0045838",0.962106411593174
"GO:0045839",0.854696825118444
"GO:0097278",0.272970177703953
"GO:0106120",0.315749000779729
"GO:0090493",0.0580089113132958
"GO:0090494",0.382614441334122
"GO:0061462",0.0491424859704879
"GO:0086070",0.793976493430179
"GO:0086073",0.849767769543889
"GO:0055130",0.666666666666667
"GO:0061469",0.809081922814404
"GO:0009410",6.04851050404934e-17
"GO:0009411",0.526944745022479
"GO:0106118",0.189173836386738
"GO:1904960",0.749232186732187
"GO:0009414",0.248313249311182
"GO:0097210",0.937299956838905
"GO:0009415",0.148232950396757
"GO:0106119",0.0619899081021983
"GO:0097211",0.908906715445775
"GO:0009416",0.110225831620304
"GO:0061450",0.0643382101691162
"GO:0097212",0.836714034303675
"GO:0061451",0.46875
"GO:0061452",0.366459627329193
"GO:0086021",0.431818181818182
"GO:0086023",0.860768217289956
"GO:0086024",0.5
"GO:0061458",0.845669740817786
"GO:0086026",0.0866703744901742
"GO:0086027",0.375581130030518
"GO:0032700",0.159384233307743
"GO:0086028",0.838687899833411
"GO:0032701",0.618036824093305
"GO:0009441",0.578785671184894
"GO:0086029",0.804566802620195
"GO:0032703",0.891098040174467
"GO:1904950",0.000382494723190613
"GO:0009444",0.292452830188679
"GO:1904951",2.53435002147516e-05
"GO:0009445",0.774509803921569
"GO:0097241",0.992063492063492
"GO:0097242",0.00050367940963945
"GO:0032707",0.0754933199172676
"GO:1904953",0.0125515283281431
"GO:0009447",0.416666666666667
"GO:0045806",0.837933244056611
"GO:1904954",0.00960006374800911
"GO:0009448",0.201104915148649
"GO:0086010",0.962450842610263
"GO:0045807",0.0104390781522205
"GO:0009449",0.129951869677897
"GO:0086011",0.852926981772249
"GO:1904956",0.706766917293233
"GO:0061484",0.936338334777176
"GO:0086012",0.907904968808734
"GO:0086013",0.621660340360933
"GO:1904958",0.235294117647059
"GO:0086014",0.190193697879581
"GO:0090461",0.0284321548763141
"GO:1904959",0.960018527648363
"GO:0086015",0.947932592160835
"GO:0086016",0.523955128327632
"GO:0086017",0.709442959124611
"GO:0086018",0.927163550668834
"GO:0086019",0.978328262986676
"GO:0009435",0.629447181171319
"GO:0061470",0.272125881741344
"GO:0009436",0.493769192315933
"GO:0009437",0.992857142857143
"GO:0009438",0.138666541437963
"GO:0086042",0.934175956214414
"GO:0097237",0.0295434888744017
"GO:0086043",0.895362117579262
"GO:0086044",0.289473684210526
"GO:0086045",0.252230378317335
"GO:0086046",0.635234330886505
"GO:0039689",0.553093964858671
"GO:0055108",0.17843137254902
"GO:1904970",0.679499380072676
"GO:1904971",0.212643678160919
"GO:1904973",0.2
"GO:0086030",0.5
"GO:0023061",6.12079324470111e-05
"GO:1904978",0.638616481019567
"GO:1902692",0.196260511161595
"GO:1904979",0.383330423141843
"GO:0086036",0.878081419815788
"GO:0032890",1.35001229846634e-05
"GO:0032891",0.0511799284839842
"GO:0032892",0.00283945088891467
"GO:0045590",0.454562678237466
"GO:0045591",0.105785394148373
"GO:0045595",1.268398626328e-33
"GO:0032897",0.4411809839749
"GO:1904923",0.762214874192059
"GO:0032898",0.203360654806948
"GO:0045596",1.04411427208217e-09
"GO:0032899",0.488992940618838
"GO:0045597",2.61352012609539e-13
"GO:1904925",0.708589759081791
"GO:0045598",0.924985886584477
"GO:0023051",6.09119312639344e-41
"GO:0045599",0.812671482960386
"GO:0023052",2.1059073695418e-79
"GO:0090472",0.203619909502262
"GO:0061418",0.158774726324428
"GO:0061419",0.0231759358845367
"GO:0023056",8.13436758404768e-19
"GO:0106104",0.971153846153846
"GO:0023057",8.77022015575659e-07
"GO:0044351",0.781954887218045
"GO:0106106",0.848175627757451
"GO:0023058",0.0597902725339095
"GO:0009403",0.167087693973295
"GO:0009404",0.00340540460743997
"GO:0097201",0.469657732443373
"GO:0061440",0.404049330073117
"GO:0097202",0.551223892670492
"GO:0009407",0.351251566740085
"GO:0009408",0.00032152357992586
"GO:0044359",0.812321476183993
"GO:0097205",0.973233431143023
"GO:0009409",0.0389114419744174
"GO:0061443",0.534939398473739
"GO:0061444",0.333333333333334
"GO:0050790",0.477118294540244
"GO:0061448",0.10353670522352
"GO:0050792",0.12506703223265
"GO:0044380",0.132227295625022
"GO:0050793",1.58408940935158e-40
"GO:0050794",9.57531635443665e-31
"GO:0050795",1.93460744684915e-15
"GO:0090427",0.266666666666667
"GO:0050796",0.551486032470913
"GO:0050798",0.213505771535597
"GO:0061430",0.733716874120361
"GO:0044387",0.901927923052235
"GO:0086001",0.995008519757227
"GO:0086002",0.946031522984072
"GO:0086003",0.559025492913543
"GO:1904948",0.244893935625963
"GO:0061436",0.195189981734907
"GO:0086004",0.619428329377009
"GO:0061437",0.744450589526974
"GO:0086005",0.579241730950905
"GO:0061438",0.569151123133767
"GO:0061439",0.569151123133767
"GO:1902667",0.607365265838203
"GO:0086009",0.488174602718466
"GO:1902669",0.228400053594918
"GO:1904933",0.615480649188514
"GO:0042092",0.500432370445429
"GO:0032868",0.485994593499651
"GO:0032869",0.928799530520573
"GO:1904935",0.423728813559322
"GO:0044379",0.0909090909090908
"GO:0042093",0.902097902097902
"GO:1904936",0.324279023961592
"GO:0023021",0.135288499246117
"GO:1904938",0.713369766772515
"GO:1902652",0.149562692825735
"GO:1902653",0.843000896749954
"GO:0042098",0.305134755759868
"GO:1902656",0.909668894404003
"GO:0044320",0.169349058574849
"GO:0009190",0.875515855172457
"GO:0044321",0.0927337950604957
"GO:0009191",0.929247889844838
"GO:0009193",0.627363388781128
"GO:0009195",0.222222222222222
"GO:0009199",0.898069265881804
"GO:1902680",4.66780537793421e-07
"GO:1902683",0.190051770465731
"GO:1902685",0.0335589885651038
"GO:0032880",0.00385059158286526
"GO:1902686",0.618500431983292
"GO:0032881",0.00483223655737912
"GO:1902688",0.0188747473201774
"GO:0045580",0.927718592627696
"GO:0050764",0.429666326587115
"GO:0045581",0.870495611226049
"GO:0050765",0.302104324417114
"GO:1902689",0.00795044176643857
"GO:0023019",0.321766805436379
"GO:0045582",0.892462418235108
"GO:0050766",0.00185277305081117
"GO:0044314",0.607773713205422
"GO:0032885",0.00166301686425167
"GO:0050767",0.00831369914833413
"GO:0032886",0.0099273923199922
"GO:0050768",0.236709933397876
"GO:0061400",0.247619047619048
"GO:0050769",0.00169490754972803
